Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1056,Debniki Rzemielnicza,Krakow,1.0,21030.0,50.0469432,19.997153435836697,589000.0,3.0,57.36,2021.0
1057,Krowodrza ul Juliusza Lea 25,Krakow,2.0,29218.0,50.0703596,19.9188768,1409720.0,5.0,108.44,2020.0
1058,Wilanow ul Prymasa Augusta Hlonda,Warszawa,1.0,11884.0,52.158490650000005,21.06594441671797,638480.0,2.0,52.7,2013.0
1059,Stare Miasto Pistkowo,Poznan,10.0,2453.0,52.4006632,16.91973259178088,315000.0,2.0,42.0,1980.0
1060,Mokotow Stegny Biaego Debu,Warszawa,1.0,13797.0,52.1834138,21.0410268,500000.0,1.0,29.0,2018.0
1061,Wola Juliana Konstantego Ordona,Warszawa,0.0,10391.0,52.2247928,20.9525803,650000.0,3.0,64.99,2021.0
1062,Stare Miasto w Krzyza,Krakow,1.0,29162.0,50.06336195,19.943341533221,1545000.0,4.0,100.0,1864.0
1063,Wola Stanczyka,Warszawa,1.0,13051.0,52.2221684,20.9574271,669300.0,3.0,67.9,2021.0
1064,Nowa Huta Czyzyny ul Sotysowska,Krakow,2.0,28333.0,50.0605887,20.0240353,352692.0,2.0,34.92,2022.0
1065,Debniki KlinyZacisze Spacerowa,Krakow,1.0,19424.0,50.0050868,19.8770531,458712.0,3.0,63.29,2021.0
1066,Nowe Miasto Malta ul Katowicka,Poznan,0.0,4956.0,52.3973449,16.9619394,360090.0,2.0,40.01,2022.0
1067,PragaPonoc ul Szwedzka,Warszawa,0.0,10193.0,52.2634539,21.0453302,595851.0,2.0,46.5,2022.0
1068,Nowa Huta Czyzyny ul Wonicow,Krakow,1.0,26076.0,50.0469432,19.997153435836697,414720.0,1.0,34.56,2022.0
1069,Stare Miasto Naramowice ul Czarnucha,Poznan,0.0,1119.0,52.4499763,16.9527562,342459.6,2.0,49.56,2022.0
1070,Zoliborz Stary Zoliborz Bitwy pod Rokitns,Warszawa,6.0,10822.0,52.2319581,21.0067249,2800000.0,3.0,150.0,2002.0
1071,Nowa Huta Czyzyny Sotysowska,Krakow,0.0,24277.0,50.0605887,20.0240353,299000.0,1.0,32.67,2021.0
